"","FCP_M1","FCP_M2","FCP_M3","FF_O","LTAVG_Y10P","NFCP_M1","NFCP_M2","NFCP_M3","PRIME_NA","TB_M3","TB_M6","TB_WK4","TB_Y1","TCMII_Y10","TCMII_Y20","TCMII_Y30","TCMII_Y5","TCMII_Y7","TCMNOM_M1","TCMNOM_M3","TCMNOM_M6","TCMNOM_Y10","TCMNOM_Y1","TCMNOM_Y20","TCMNOM_Y2","TCMNOM_Y30","TCMNOM_Y3","TCMNOM_Y5","TCMNOM_Y7"
"20100803",-0.03,-0.07,0.08,0,-0.05,0.01,0,0.01,0,0,0,0.00999999999999998,-0.01,-0.0599999999999998,-0.05,-0.0299999999999998,-0.1,-0.0800000000000001,0.00999999999999998,0,0,-0.0500000000000003,-0.01,-0.04,-0.03,-0.0199999999999996,-0.0499999999999999,-0.0899999999999999,-0.0800000000000001
"20100809",0.02,0.05,0.05,-0.01,-0.04,0.02,-0.03,0,0,-0.01,-0.01,-0.00999999999999998,-0.02,-0.0800000000000001,-0.04,-0.0299999999999998,-0.06,-0.0700000000000001,-0.00999999999999998,-0.01,-0.01,-0.12,-0.02,-0.0800000000000001,-0.02,-0.0600000000000005,-0.0499999999999999,-0.0800000000000001,-0.12
"20100813",-0.01,0.03,-0.05,0.01,0,0,0.00999999999999998,0.01,0,0,0,-0.00999999999999998,0,0.05,0.05,0.02,0.15,0.11,-0.00999999999999998,0,0,-0.11,0.01,-0.14,0.02,-0.13,0.03,0.01,-0.0700000000000003
"20100817",0,-0.02,0.01,0,0.04,-0.01,-0.03,-0.01,0,0.01,0,0.01,0,0.0600000000000001,0.0699999999999998,0.04,0.05,0.05,0.01,0.01,0,0.0600000000000001,0.01,0.0500000000000003,0.01,0.0499999999999998,0.02,0.04,0.0600000000000001
"20100819",-0.02,0.01,0,0,-0.01,0.01,-0.02,-0.03,0,0,0,0,0,0,-0.02,-0.01,0.01,0,0,0,0,-0.0600000000000001,0,-0.0699999999999998,-0.02,-0.0699999999999998,-0.03,-0.05,-0.04
"20100824",-0.04,0,0.01,0,-0.04,0.01,-0.02,0.02,0,0,0.01,0.02,0.03,-0.04,-0.0699999999999998,-0.01,-0.05,-0.0399999999999999,0.02,0,0.01,-0.1,0.02,-0.0900000000000003,0.01,-0.0800000000000001,-0.04,-0.0699999999999998,-0.0900000000000001
"20100826",0,0.02,0,0,-0.0700000000000001,0.01,0,-0.04,0,0,0,0,-0.01,-0.0600000000000001,-0.0600000000000001,-0.0599999999999998,-0.05,-0.05,0,0,0,-0.04,-0.01,-0.0600000000000001,-0.02,-0.0600000000000001,0,-0.02,-0.03
"20100901",0,0,0.04,-0.02,0.05,0.02,-0.01,-0.01,0,-0.01,0,0,0,0.0700000000000001,0.0700000000000001,0.0499999999999998,0.06,0.0600000000000001,0,-0.01,0,0.11,0,0.12,0.03,0.13,0.03,0.0799999999999998,0.1
"20100903",-0.01,-0.00999999999999998,-0.02,0,0.02,0.02,-0.06,0,0,0,0.01,0,0,0.05,0.03,0.03,0.00999999999999998,0.03,0,0,0.01,0.0900000000000003,0,0.0800000000000001,0.02,0.0699999999999998,0.05,0.0600000000000001,0.0800000000000001
"20100909",-0.01,-0.02,0,-0.02,0.0800000000000001,0.00999999999999998,0,0,0,0,0.01,-0.03,0,0.0700000000000001,0.15,0.0800000000000001,0.11,0.08,-0.03,0,0.01,0.16,0.01,0.17,0.08,0.17,0.1,0.16,0.16
